Day Number, Animals alive, Empty spots, Number of Plants, Average energy level for living animals, Average life length for dead animals, Dominant genotype
1, 50, 6301, 49, 50, 0, 5
2, 51, 6271, 80, 47, 0, 1
3, 51, 6239, 110, 46, 0, 7
4, 51, 6209, 140, 45, 0, 3
5, 51, 6180, 169, 44, 0, 3
6, 51, 6150, 199, 43, 0, 2
7, 51, 6121, 228, 42, 0, 1
8, 51, 6093, 256, 42, 0, 4
9, 51, 6064, 285, 41, 0, 1
10, 52, 6036, 314, 39, 0, 4
11, 52, 6006, 342, 39, 0, 7
12, 53, 5979, 370, 37, 0, 2
13, 53, 5950, 397, 36, 0, 2
14, 53, 5923, 424, 36, 0, 6
15, 53, 5895, 452, 35, 0, 2
16, 53, 5866, 481, 34, 0, 1
17, 53, 5838, 509, 34, 0, 1
18, 53, 5812, 535, 33, 0, 7
19, 53, 5784, 563, 33, 0, 3
20, 53, 5757, 590, 32, 0, 3
21, 54, 5732, 616, 31, 0, 2
22, 54, 5707, 641, 31, 0, 2
23, 54, 5679, 667, 31, 0, 4
24, 54, 5650, 697, 30, 0, 1
25, 54, 5621, 725, 29, 0, 4
26, 53, 5594, 754, 29, 24, 5
27, 53, 5569, 779, 29, 24, 2
28, 52, 5544, 804, 29, 25, 2
29, 52, 5519, 829, 29, 25, 6
30, 52, 5371, 978, 28, 25, 3
31, 52, 5363, 985, 28, 25, 3
32, 52, 5363, 985, 28, 25, 3
33, 52, 5363, 985, 28, 25, 3
34, 52, 5363, 985, 28, 25, 3
35, 52, 5363, 985, 28, 25, 3
36, 52, 5338, 1010, 28, 25, 2
37, 52, 5316, 1032, 28, 25, 2
38, 52, 5292, 1056, 28, 25, 4
39, 50, 5267, 1083, 29, 31, 1
40, 48, 5244, 1108, 30, 34, 4
41, 48, 5218, 1134, 30, 34, 7
42, 48, 5188, 1164, 29, 34, 2
43, 48, 5165, 1187, 29, 34, 6
44, 48, 5141, 1211, 30, 34, 1
45, 47, 5118, 1235, 30, 32, 2
46, 46, 5092, 1262, 31, 32, 1
47, 45, 5071, 1284, 32, 34, 1
48, 45, 5047, 1308, 32, 34, 7
